,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
178,FinancialTimesv3_0906.csv,,03/09/2020 09:26,,79,,0,0,1,2,,"India detected a record 82,860 new coronavirus infections on Wednesday, suffering another 1,000 fatalities, as authorities push ahead with reopening in a bid to revive the shattered economy https://t.co/Xmv76kizte https://t.co/31MUioyE2O",,India detected a record 82860 new coronavirus infections on Wednesday suffering another 1000 fatalities as authorities push ahead with reopening in a bid to revive the shattered economy httpstcoXmv76kizte httpstco31MUioyE2O
175,FinancialTimesv3_0906.csv,,03/09/2020 10:09,,80,,6,0,0,2,,"Daily coronavirus thread:
 👉 India confirms new daily record of 82,860 cases
 👉 US farmers set to receive record $37.2bn in handouts
 👉 Bundesbank chief calls for scale-down of Covid-19 EU aid
https://t.co/1rSyvkqIWp",,Daily coronavirus thread  India confirms new daily record of 82860 cases  US farmers set to receive record 372bn in handouts  Bundesbank chief calls for scaledown of Covid19 EU aidhttpstco1rSyvkqIWp
174,FinancialTimesv3_0906.csv,,03/09/2020 10:20,,81,,11,0,1,2,,"RT @FD: ""Have you been arrested yet?""

This is the tale of the spies, the hacking, the put-up job, the sock puppets, the fancy restaurants,…",,RT FD Have you been arrested yet?This is the tale of the spies the hacking the putup job the sock puppets the fancy restaurants
171,FinancialTimesv3_0906.csv,,03/09/2020 11:00,,82,,12,1,1,2,,"Two-thirds of the world’s population is unlikely to have easy access to any Covid-19 vaccine that needs to be stored at freezing temperatures, according to the German logistics giant Deutsche Post DHL https://t.co/UXPFyFR9zW",,Twothirds of the worlds population is unlikely to have easy access to any Covid19 vaccine that needs to be stored at freezing temperatures according to the German logistics giant Deutsche Post DHL httpstcoUXPFyFR9zW
169,FinancialTimesv3_0906.csv,,03/09/2020 11:30,,83,,4,1,1,2,,Melrose Industries has posted a £685m half-year loss as the FTSE 100 buyout specialist and owner of car and aircraft parts maker GKN was hit hard by the coronavirus pandemic https://t.co/cNwTGrVkFE,,Melrose Industries has posted a 685m halfyear loss as the FTSE 100 buyout specialist and owner of car and aircraft parts maker GKN was hit hard by the coronavirus pandemic httpstcocNwTGrVkFE
167,FinancialTimesv3_0906.csv,,03/09/2020 11:49,,84,,17,0,3,2,,"Since the middle of August India has been detecting the highest number of new infections across the globe every day, nearly double those in the US and Brazil
https://t.co/c4GglPCc9G",,Since the middle of August India has been detecting the highest number of new infections across the globe every day nearly double those in the US and Brazilhttpstcoc4GglPCc9G
163,FinancialTimesv3_0906.csv,,03/09/2020 13:00,,85,,8,0,0,2,,UK's Boris Johnson warned the economy is set to worsen and chancellor Rishi Sunak admitted tax rises would be necessary: https://t.co/72C1cGZNyC https://t.co/kEHG3bYoLU,,UKs Boris Johnson warned the economy is set to worsen and chancellor Rishi Sunak admitted tax rises would be necessary httpstco72C1cGZNyC httpstcokEHG3bYoLU
162,FinancialTimesv3_0906.csv,,03/09/2020 13:26,,86,,14,0,4,2,,"Calling all students: @ftlive are offering FREE passes to this year's digital #FTWeekendFestival, which kicked off this morning and runs until Saturday 5 September. For three days of debate, demos and readings register here: https://t.co/s3OI5vRpvi https://t.co/KaQjFrLDtn",,Calling all students ftlive are offering FREE passes to this years digital FTWeekendFestival which kicked off this morning and runs until Saturday 5 September For three days of debate demos and readings register here httpstcos3OI5vRpvi httpstcoKaQjFrLDtn
147,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,87,,11,0,1,2,,Hong Kong: Beijing cracks down while the financial centre thrives https://t.co/FcMZvGHOMv,,Hong Kong Beijing cracks down while the financial centre thrives httpstcoFcMZvGHOMv
143,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,88,,23,1,1,2,,Donald Trump has dragged Joe Biden on to his own turf https://t.co/2bJkY8UkcA,,Donald Trump has dragged Joe Biden on to his own turf httpstco2bJkY8UkcA
145,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,89,,10,1,1,2,,Wirecard and me: Dan McCrum on exposing a criminal enterprise https://t.co/fbwUb8ylxb,,Wirecard and me Dan McCrum on exposing a criminal enterprise httpstcofbwUb8ylxb
136,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,90,,9,0,2,2,,The US and climate: New York’s bold green plans hit opposition https://t.co/ZvPzzrhKIE,,The US and climate New Yorks bold green plans hit opposition httpstcoZvPzzrhKIE
