,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
2078,4898091,2020-01-06 05:03:16+00:00, ,1214049774153994240,en,38,0,1,20,SocialFlow,KPMG faces testing 2020 following string of scandals https://t.co/q4axBI311f
2073,4898091,2020-01-06 08:45:04+00:00, ,1214105591624404992,en,38,5,3,18,SocialFlow,83 books to look out for this year https://t.co/L0pBFwqFJ3
2072,4898091,2020-01-06 09:20:07+00:00, ,1214114412291919874,en,29,2,3,18,SocialFlow,"Iran will not abide by any of its commitments to the 2015 nuclear accord it signed with world powers, pushing the deal closer to total collapse as the fallout from the US killing of an Iranian commander intensified https://t.co/OdS00oreRE"
2069,4898091,2020-01-06 10:20:02+00:00, ,1214129489455853570,en,26,2,3,17,SocialFlow,"A former female KPMG partner said: 'The issue is there are a few bad apples combined with a culture that is too focused on keeping big-billers happy, which means good people turn a blind eye to stupid things' https://t.co/nNpCceiINe"
2065,4898091,2020-01-06 10:53:15+00:00, ,1214137848741421057,en,23,1,3,3,Twitter for Advertisers.,Companies must do more to ensure sustainable futures for business and society.
2064,4898091,2020-01-06 10:53:35+00:00, ,1214137931524452352,en,9,0,0,0,Twitter for Advertisers.,We need universally agreed benchmarks to help us compare companies’ social responsibilities.
2063,4898091,2020-01-06 11:00:14+00:00, ,1214139606209310720,en,29,1,3,20,SocialFlow,"Across the world, office space per person is shrinking, partitions are being torn down and desks shared as organisations seek to combine cost efficiency with creative energy. But these trends can in some cases create the opposite result
https://t.co/Rn2fE0Zc0O"
2058,4898091,2020-01-06 12:20:02+00:00, ,1214159690629885954,en,24,2,4,10,SocialFlow,"Carlos Ghosn’s escape from central Tokyo to Beirut by private jet started with a three-hour ride on a public bullet train, according to Japanese media on Monday https://t.co/TVSZ9a7Opo"
2052,4898091,2020-01-06 13:49:21+00:00, ,1214182164620820480,en,0,0,0,11,Twitter Web App,"RT @Skapinker: What's the future of flying? Join the debate, with me, @BourSchaeffer of @Airbus, Amy Ruddock of @VirginAtlantic and green c…"
2050,4898091,2020-01-06 14:20:06+00:00, ,1214189903367553024,en,32,9,5,16,SocialFlow,"More than 93% of young lawyers surveyed reported feeling stressed in their role, and many said they used alcohol as a coping mechanism
https://t.co/F2pugBwsTB"
2046,4898091,2020-01-06 15:00:21+00:00, ,1214200035975585793,en,21,3,0,9,SocialFlow,"Wall Street banks hope quantum machines will allow them to quote prices on complex financial products to customers in real time
https://t.co/wSJvJyzFX9"
2038,4898091,2020-01-06 17:00:22+00:00, ,1214230238386966528,en,8,0,1,7,SocialFlow,"Brigadier General Esmail Ghaani told state television that Iran would take its revenge by 'uprooting the US from the region' and 'continuing the work of the martyr Soleimani as robustly as he did'
https://t.co/trmgGveG1d"
2036,4898091,2020-01-06 17:40:04+00:00, ,1214240226765426688,en,29,3,1,12,SocialFlow,"During the past few months traders have argued that the standard eight-and-a-half-hour days are bad for mental health and for work-life balances
https://t.co/27PGvlJJqI"
2035,4898091,2020-01-06 18:00:16+00:00, ,1214245312015077377,en,7,0,0,4,SocialFlow,"What is the future of flying: electric planes, green offsets or staying at home?

Join the FT's Michael Skapinker and an expert panel at the FT London HQ. Tickets available now: https://t.co/m6wZIaOUQR https://t.co/NZlgUPjGpv"
2033,4898091,2020-01-06 18:40:06+00:00, ,1214255336590368780,en,0,0,0,14,SocialFlow,"RT @laurapitel: Turkey has begun sending troops to prop up the ailing UN-backed govt in Libya, President Erdoğan announced last night. Full…"
2027,4898091,2020-01-06 19:20:05+00:00, ,1214265398289469445,en,37,2,6,32,SocialFlow,"Opinion: Those hoping the wealthiest countries will lead on climate change must face some hard truths.
👉Politicians struggle to plan long-term
👉The difficulty of proving climate change is man-made
👉People find it hard to confront massive problems 
https://t.co/5oaj47zra0"
2025,4898091,2020-01-06 20:00:06+00:00, ,1214275468519780353,en,0,0,0,24,SocialFlow,RT @AndyBounds: In today's FT @salford_mayor warns that another #Grenfell style blaze is all too possible because of the slow pace of fire…
2023,4898091,2020-01-06 20:40:09+00:00, ,1214285546182397952,en,19,0,0,1,SocialFlow,"Welcome to the Camptons (or the Catskill-Hamptons), where an increasing number of New Yorkers are buying weekend retreats https://t.co/oiecHBVF0u"
